REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2021/04/01 00:30:00,7012,35.46,TRADE
NSW1,2021/04/01 01:00:00,6815.37,34.21,TRADE
NSW1,2021/04/01 01:30:00,6495.25,32.83,TRADE
NSW1,2021/04/01 02:00:00,6308.43,32.71,TRADE
NSW1,2021/04/01 02:30:00,6179.93,31.87,TRADE
NSW1,2021/04/01 03:00:00,6075.2,31.39,TRADE
NSW1,2021/04/01 03:30:00,6110.07,31.72,TRADE
NSW1,2021/04/01 04:00:00,6177.91,32.74,TRADE
NSW1,2021/04/01 04:30:00,6408.53,37.78,TRADE
NSW1,2021/04/01 05:00:00,6710.08,36.12,TRADE
NSW1,2021/04/01 05:30:00,7105.33,36.06,TRADE
NSW1,2021/04/01 06:00:00,7569.47,41.09,TRADE
NSW1,2021/04/01 06:30:00,7932.95,54.19,TRADE
NSW1,2021/04/01 07:00:00,8112.71,58.92,TRADE
NSW1,2021/04/01 07:30:00,7973.15,39.49,TRADE
NSW1,2021/04/01 08:00:00,7657.94,30.75,TRADE
NSW1,2021/04/01 08:30:00,7410.88,24.83,TRADE
NSW1,2021/04/01 09:00:00,7198.61,21.72,TRADE
NSW1,2021/04/01 09:30:00,7069.51,26.35,TRADE
NSW1,2021/04/01 10:00:00,6942.23,23.22,TRADE
NSW1,2021/04/01 10:30:00,6840.95,23.95,TRADE
NSW1,2021/04/01 11:00:00,6928.17,33.16,TRADE
NSW1,2021/04/01 11:30:00,6924.77,35.26,TRADE
NSW1,2021/04/01 12:00:00,6904.35,34.05,TRADE
NSW1,2021/04/01 12:30:00,6926.54,33.93,TRADE
NSW1,2021/04/01 13:00:00,6961.63,33.91,TRADE
NSW1,2021/04/01 13:30:00,6940.01,34.42,TRADE
NSW1,2021/04/01 14:00:00,6917.12,33.41,TRADE
NSW1,2021/04/01 14:30:00,6978.42,33.05,TRADE
NSW1,2021/04/01 15:00:00,7129.56,33.17,TRADE
NSW1,2021/04/01 15:30:00,7404.24,34.18,TRADE
NSW1,2021/04/01 16:00:00,7617.25,34.25,TRADE
NSW1,2021/04/01 16:30:00,7821.53,34.70,TRADE
NSW1,2021/04/01 17:00:00,8121.8,45.59,TRADE
NSW1,2021/04/01 17:30:00,8224.04,50.01,TRADE
NSW1,2021/04/01 18:00:00,8368.54,108.87,TRADE
NSW1,2021/04/01 18:30:00,8421.34,72.05,TRADE
NSW1,2021/04/01 19:00:00,8334.6,53.18,TRADE
NSW1,2021/04/01 19:30:00,8153.32,42.17,TRADE
NSW1,2021/04/01 20:00:00,7979.21,36.78,TRADE
NSW1,2021/04/01 20:30:00,7751.48,37.14,TRADE
NSW1,2021/04/01 21:00:00,7572.19,42.63,TRADE
NSW1,2021/04/01 21:30:00,7540.89,36.01,TRADE
NSW1,2021/04/01 22:00:00,7372.82,33,TRADE
NSW1,2021/04/01 22:30:00,7355.2,34.71,TRADE
NSW1,2021/04/01 23:00:00,7214.74,33.16,TRADE
NSW1,2021/04/01 23:30:00,7180.46,35.16,TRADE
NSW1,2021/04/02 00:00:00,7108.14,33.99,TRADE
NSW1,2021/04/02 00:30:00,6919.16,32.73,TRADE
NSW1,2021/04/02 01:00:00,6737.07,32.91,TRADE
NSW1,2021/04/02 01:30:00,6452.42,31.18,TRADE
NSW1,2021/04/02 02:00:00,6231.22,31.70,TRADE
NSW1,2021/04/02 02:30:00,6043.99,30.17,TRADE
NSW1,2021/04/02 03:00:00,5976.7,31.77,TRADE
NSW1,2021/04/02 03:30:00,5942.76,31.66,TRADE
NSW1,2021/04/02 04:00:00,5915.82,31.25,TRADE
NSW1,2021/04/02 04:30:00,5916.68,32.47,TRADE
NSW1,2021/04/02 05:00:00,6006.81,33.74,TRADE
NSW1,2021/04/02 05:30:00,6125.76,33.81,TRADE
NSW1,2021/04/02 06:00:00,6274.12,34.21,TRADE
NSW1,2021/04/02 06:30:00,6381.79,32.77,TRADE
NSW1,2021/04/02 07:00:00,6504.3,33.29,TRADE
NSW1,2021/04/02 07:30:00,6520.2,26.77,TRADE
NSW1,2021/04/02 08:00:00,6431.98,13.13,TRADE
NSW1,2021/04/02 08:30:00,6334.7,-0.02,TRADE
NSW1,2021/04/02 09:00:00,6165.91,-2.55,TRADE
NSW1,2021/04/02 09:30:00,6008.67,0,TRADE
NSW1,2021/04/02 10:00:00,5871.8,-2.69,TRADE
NSW1,2021/04/02 10:30:00,5770.6,-22.68,TRADE
NSW1,2021/04/02 11:00:00,5666.68,-21.30,TRADE
NSW1,2021/04/02 11:30:00,5676.19,-16.96,TRADE
NSW1,2021/04/02 12:00:00,5578.88,-14.74,TRADE
NSW1,2021/04/02 12:30:00,5576.21,-12.09,TRADE
NSW1,2021/04/02 13:00:00,5500.92,-1.87,TRADE
NSW1,2021/04/02 13:30:00,5538.02,1.22,TRADE
NSW1,2021/04/02 14:00:00,5638.06,8.83,TRADE
NSW1,2021/04/02 14:30:00,5754.59,17.35,TRADE
NSW1,2021/04/02 15:00:00,5978.37,29.58,TRADE
NSW1,2021/04/02 15:30:00,6276.54,28.22,TRADE
NSW1,2021/04/02 16:00:00,6652.58,33.49,TRADE
NSW1,2021/04/02 16:30:00,7012.94,32.79,TRADE
NSW1,2021/04/02 17:00:00,7408.73,42.55,TRADE
NSW1,2021/04/02 17:30:00,7682.32,44.34,TRADE
NSW1,2021/04/02 18:00:00,7819.5,51.45,TRADE
NSW1,2021/04/02 18:30:00,7871.8,54.37,TRADE
NSW1,2021/04/02 19:00:00,7791.78,44.57,TRADE
NSW1,2021/04/02 19:30:00,7552.59,34.15,TRADE
NSW1,2021/04/02 20:00:00,7388.13,33.53,TRADE
NSW1,2021/04/02 20:30:00,7245.26,32.49,TRADE
NSW1,2021/04/02 21:00:00,7142.01,32.10,TRADE
NSW1,2021/04/02 21:30:00,7074.94,31.72,TRADE
NSW1,2021/04/02 22:00:00,7086.37,32.33,TRADE
NSW1,2021/04/02 22:30:00,7113.48,34.77,TRADE
NSW1,2021/04/02 23:00:00,7065.08,34.25,TRADE
NSW1,2021/04/02 23:30:00,6983.9,35.06,TRADE
NSW1,2021/04/03 00:00:00,6921.67,34.48,TRADE
NSW1,2021/04/03 00:30:00,6734.97,32.96,TRADE
NSW1,2021/04/03 01:00:00,6537.11,29.72,TRADE
NSW1,2021/04/03 01:30:00,6311.91,29.43,TRADE
NSW1,2021/04/03 02:00:00,6107,31.35,TRADE
NSW1,2021/04/03 02:30:00,5942.66,21.10,TRADE
NSW1,2021/04/03 03:00:00,5841.61,20.70,TRADE
NSW1,2021/04/03 03:30:00,5797.44,20.68,TRADE
NSW1,2021/04/03 04:00:00,5807.18,20.95,TRADE
NSW1,2021/04/03 04:30:00,5854.05,21.73,TRADE
NSW1,2021/04/03 05:00:00,5933.86,25.95,TRADE
NSW1,2021/04/03 05:30:00,6116.35,29.09,TRADE
NSW1,2021/04/03 06:00:00,6269.21,32.13,TRADE
NSW1,2021/04/03 06:30:00,6482.31,31.60,TRADE
NSW1,2021/04/03 07:00:00,6644.46,32.36,TRADE
NSW1,2021/04/03 07:30:00,6764.91,21.94,TRADE
NSW1,2021/04/03 08:00:00,6710.68,2.16,TRADE
NSW1,2021/04/03 08:30:00,6644.87,2.16,TRADE
NSW1,2021/04/03 09:00:00,6467.01,0,TRADE
NSW1,2021/04/03 09:30:00,6281.61,9.42,TRADE
NSW1,2021/04/03 10:00:00,6043.23,13.44,TRADE
NSW1,2021/04/03 10:30:00,5902.82,0.76,TRADE
NSW1,2021/04/03 11:00:00,5835.33,0,TRADE
NSW1,2021/04/03 11:30:00,5742.91,-0.15,TRADE
NSW1,2021/04/03 12:00:00,5668.66,-1.96,TRADE
NSW1,2021/04/03 12:30:00,5657.92,0,TRADE
NSW1,2021/04/03 13:00:00,5708.53,0.41,TRADE
NSW1,2021/04/03 13:30:00,5800.34,7.70,TRADE
NSW1,2021/04/03 14:00:00,5912.64,21.20,TRADE
NSW1,2021/04/03 14:30:00,6059.83,32.63,TRADE
NSW1,2021/04/03 15:00:00,6282.68,32.48,TRADE
NSW1,2021/04/03 15:30:00,6609.83,33.87,TRADE
NSW1,2021/04/03 16:00:00,6959.77,34.71,TRADE
NSW1,2021/04/03 16:30:00,7255.46,33.49,TRADE
NSW1,2021/04/03 17:00:00,7611.4,42.58,TRADE
NSW1,2021/04/03 17:30:00,7825.7,46.15,TRADE
NSW1,2021/04/03 18:00:00,7934.57,65.20,TRADE
NSW1,2021/04/03 18:30:00,7977.12,57.02,TRADE
NSW1,2021/04/03 19:00:00,7873.05,46.86,TRADE
NSW1,2021/04/03 19:30:00,7632.79,38.52,TRADE
NSW1,2021/04/03 20:00:00,7483.01,38.14,TRADE
NSW1,2021/04/03 20:30:00,7351.8,36.32,TRADE
NSW1,2021/04/03 21:00:00,7221.59,35.39,TRADE
NSW1,2021/04/03 21:30:00,7161.29,36.05,TRADE
NSW1,2021/04/03 22:00:00,7045.48,35.27,TRADE
NSW1,2021/04/03 22:30:00,7048.34,38.25,TRADE
NSW1,2021/04/03 23:00:00,6927.77,35.84,TRADE
NSW1,2021/04/03 23:30:00,6738.66,34.91,TRADE
NSW1,2021/04/04 00:00:00,6665.39,34.73,TRADE
NSW1,2021/04/04 00:30:00,6518.1,35.25,TRADE
NSW1,2021/04/04 01:00:00,6363.81,35.07,TRADE
NSW1,2021/04/04 01:30:00,6123.07,33.35,TRADE
NSW1,2021/04/04 02:00:00,5966.63,35.49,TRADE
NSW1,2021/04/04 02:30:00,5814.37,34.90,TRADE
NSW1,2021/04/04 03:00:00,5755.28,36.04,TRADE
NSW1,2021/04/04 03:30:00,5710.56,35.03,TRADE
NSW1,2021/04/04 04:00:00,5672.12,35.73,TRADE
NSW1,2021/04/04 04:30:00,5694.38,35.84,TRADE
NSW1,2021/04/04 05:00:00,5701.19,35.12,TRADE
NSW1,2021/04/04 05:30:00,5803.79,35.44,TRADE
NSW1,2021/04/04 06:00:00,5926.88,35.47,TRADE
NSW1,2021/04/04 06:30:00,6012.42,34.15,TRADE
NSW1,2021/04/04 07:00:00,6194.66,35.49,TRADE
NSW1,2021/04/04 07:30:00,6167.7,31.70,TRADE
NSW1,2021/04/04 08:00:00,6173.57,24.69,TRADE
NSW1,2021/04/04 08:30:00,6171.68,19.50,TRADE
NSW1,2021/04/04 09:00:00,6164.44,22.27,TRADE
NSW1,2021/04/04 09:30:00,6031.55,24.73,TRADE
NSW1,2021/04/04 10:00:00,5907.7,17.82,TRADE
NSW1,2021/04/04 10:30:00,5786.53,17.87,TRADE
NSW1,2021/04/04 11:00:00,5722.87,23.84,TRADE
NSW1,2021/04/04 11:30:00,5751.84,19.19,TRADE
NSW1,2021/04/04 12:00:00,5743.97,22.50,TRADE
NSW1,2021/04/04 12:30:00,5717.07,21.44,TRADE
NSW1,2021/04/04 13:00:00,5885.25,23.47,TRADE
NSW1,2021/04/04 13:30:00,5962.92,23.32,TRADE
NSW1,2021/04/04 14:00:00,6096.99,30.94,TRADE
NSW1,2021/04/04 14:30:00,6327.16,35.49,TRADE
NSW1,2021/04/04 15:00:00,6585.24,35.54,TRADE
NSW1,2021/04/04 15:30:00,6842.49,35.96,TRADE
NSW1,2021/04/04 16:00:00,7104.14,35.50,TRADE
NSW1,2021/04/04 16:30:00,7414.19,34.20,TRADE
NSW1,2021/04/04 17:00:00,7685.73,43.12,TRADE
NSW1,2021/04/04 17:30:00,7880.28,43.97,TRADE
NSW1,2021/04/04 18:00:00,8012.24,59.89,TRADE
NSW1,2021/04/04 18:30:00,8164.26,51.04,TRADE
NSW1,2021/04/04 19:00:00,8129.9,48.18,TRADE
NSW1,2021/04/04 19:30:00,7888.2,36.90,TRADE
NSW1,2021/04/04 20:00:00,7683.99,36.73,TRADE
NSW1,2021/04/04 20:30:00,7529.26,35.55,TRADE
NSW1,2021/04/04 21:00:00,7367.84,35.81,TRADE
NSW1,2021/04/04 21:30:00,7280.86,35.10,TRADE
NSW1,2021/04/04 22:00:00,7119.64,34.93,TRADE
NSW1,2021/04/04 22:30:00,7102.54,44.54,TRADE
NSW1,2021/04/04 23:00:00,6992.42,36.45,TRADE
NSW1,2021/04/04 23:30:00,6938.21,40.77,TRADE
NSW1,2021/04/05 00:00:00,6789.62,38.41,TRADE
NSW1,2021/04/05 00:30:00,6627.23,35.33,TRADE
NSW1,2021/04/05 01:00:00,6513.5,36.12,TRADE
NSW1,2021/04/05 01:30:00,6367.68,37.87,TRADE
NSW1,2021/04/05 02:00:00,6195.77,36.42,TRADE
NSW1,2021/04/05 02:30:00,6026.23,35.53,TRADE
NSW1,2021/04/05 03:00:00,5906.92,35.61,TRADE
NSW1,2021/04/05 03:30:00,5819.56,35.62,TRADE
NSW1,2021/04/05 04:00:00,5811.49,35.71,TRADE
NSW1,2021/04/05 04:30:00,5791.03,36.08,TRADE
NSW1,2021/04/05 05:00:00,5756.83,35.11,TRADE
NSW1,2021/04/05 05:30:00,5871.34,35.53,TRADE
NSW1,2021/04/05 06:00:00,5922.62,33.80,TRADE
NSW1,2021/04/05 06:30:00,6128.6,33.01,TRADE
NSW1,2021/04/05 07:00:00,6212.37,33.82,TRADE
NSW1,2021/04/05 07:30:00,6259.75,33.43,TRADE
NSW1,2021/04/05 08:00:00,6251.55,29.96,TRADE
NSW1,2021/04/05 08:30:00,6329.1,28.70,TRADE
NSW1,2021/04/05 09:00:00,6317.64,32.62,TRADE
NSW1,2021/04/05 09:30:00,6310.13,34.67,TRADE
NSW1,2021/04/05 10:00:00,6299.45,33.84,TRADE
NSW1,2021/04/05 10:30:00,6408.18,33.87,TRADE
NSW1,2021/04/05 11:00:00,6382.7,33.01,TRADE
NSW1,2021/04/05 11:30:00,6307.28,31.92,TRADE
NSW1,2021/04/05 12:00:00,6367.33,32.32,TRADE
NSW1,2021/04/05 12:30:00,6388.64,31.51,TRADE
NSW1,2021/04/05 13:00:00,6451.07,32.05,TRADE
NSW1,2021/04/05 13:30:00,6565.4,33.05,TRADE
NSW1,2021/04/05 14:00:00,6666.1,35.08,TRADE
NSW1,2021/04/05 14:30:00,6818.74,35.55,TRADE
NSW1,2021/04/05 15:00:00,6948.32,35.84,TRADE
NSW1,2021/04/05 15:30:00,7225.59,38,TRADE
NSW1,2021/04/05 16:00:00,7496.3,37.73,TRADE
NSW1,2021/04/05 16:30:00,7811.33,34.08,TRADE
NSW1,2021/04/05 17:00:00,8115.4,52.96,TRADE
NSW1,2021/04/05 17:30:00,8238.89,47.01,TRADE
NSW1,2021/04/05 18:00:00,8343.07,54.09,TRADE
NSW1,2021/04/05 18:30:00,8482.67,67.76,TRADE
NSW1,2021/04/05 19:00:00,8385.43,53.69,TRADE
NSW1,2021/04/05 19:30:00,8132.45,39.18,TRADE
NSW1,2021/04/05 20:00:00,7847.48,35.59,TRADE
NSW1,2021/04/05 20:30:00,7644.41,37.49,TRADE
NSW1,2021/04/05 21:00:00,7489.27,36.26,TRADE
NSW1,2021/04/05 21:30:00,7344.28,35.05,TRADE
NSW1,2021/04/05 22:00:00,7218.59,33.14,TRADE
NSW1,2021/04/05 22:30:00,7267.17,35.68,TRADE
NSW1,2021/04/05 23:00:00,7196.6,35.12,TRADE
NSW1,2021/04/05 23:30:00,7112.67,35.57,TRADE
NSW1,2021/04/06 00:00:00,7079.43,39,TRADE
NSW1,2021/04/06 00:30:00,6974.62,42.39,TRADE
NSW1,2021/04/06 01:00:00,6847.5,35.92,TRADE
NSW1,2021/04/06 01:30:00,6665.71,35.08,TRADE
NSW1,2021/04/06 02:00:00,6457.09,35.52,TRADE
NSW1,2021/04/06 02:30:00,6203.02,34.13,TRADE
NSW1,2021/04/06 03:00:00,6047.29,34.43,TRADE
NSW1,2021/04/06 03:30:00,5992.75,35.35,TRADE
NSW1,2021/04/06 04:00:00,5927.77,33.91,TRADE
NSW1,2021/04/06 04:30:00,5967.87,33.01,TRADE
NSW1,2021/04/06 05:00:00,6024.73,32.83,TRADE
NSW1,2021/04/06 05:30:00,6265.23,33,TRADE
NSW1,2021/04/06 06:00:00,6516.43,38.67,TRADE
NSW1,2021/04/06 06:30:00,6928.01,41.11,TRADE
NSW1,2021/04/06 07:00:00,7255.19,50.69,TRADE
NSW1,2021/04/06 07:30:00,7445.17,44.73,TRADE
NSW1,2021/04/06 08:00:00,7598.27,36.01,TRADE
NSW1,2021/04/06 08:30:00,7652.47,33.71,TRADE
NSW1,2021/04/06 09:00:00,7675.74,36.79,TRADE
NSW1,2021/04/06 09:30:00,7756.73,42.50,TRADE
NSW1,2021/04/06 10:00:00,7774.62,36.30,TRADE
NSW1,2021/04/06 10:30:00,7853.17,36.62,TRADE
NSW1,2021/04/06 11:00:00,7792.24,35.54,TRADE
NSW1,2021/04/06 11:30:00,7812.65,36.40,TRADE
NSW1,2021/04/06 12:00:00,7834.48,36.14,TRADE
NSW1,2021/04/06 12:30:00,7836.82,36.57,TRADE
NSW1,2021/04/06 13:00:00,7861.29,36.48,TRADE
NSW1,2021/04/06 13:30:00,7938.99,40.19,TRADE
NSW1,2021/04/06 14:00:00,7973.65,39.79,TRADE
NSW1,2021/04/06 14:30:00,8082.18,42.90,TRADE
NSW1,2021/04/06 15:00:00,8136.19,43.87,TRADE
NSW1,2021/04/06 15:30:00,8278.56,47.65,TRADE
NSW1,2021/04/06 16:00:00,8407.44,45.75,TRADE
NSW1,2021/04/06 16:30:00,8572.82,53.63,TRADE
NSW1,2021/04/06 17:00:00,8746.41,58.70,TRADE
NSW1,2021/04/06 17:30:00,8869.8,62.02,TRADE
NSW1,2021/04/06 18:00:00,8962.65,106.06,TRADE
NSW1,2021/04/06 18:30:00,9111.8,86.55,TRADE
NSW1,2021/04/06 19:00:00,8959.11,53.67,TRADE
NSW1,2021/04/06 19:30:00,8635.82,37.97,TRADE
NSW1,2021/04/06 20:00:00,8355.88,39.70,TRADE
NSW1,2021/04/06 20:30:00,8095.31,35.13,TRADE
NSW1,2021/04/06 21:00:00,7897.12,36.55,TRADE
NSW1,2021/04/06 21:30:00,7761.68,33.54,TRADE
NSW1,2021/04/06 22:00:00,7612.63,31.69,TRADE
NSW1,2021/04/06 22:30:00,7589.4,37.28,TRADE
NSW1,2021/04/06 23:00:00,7517.96,35.18,TRADE
NSW1,2021/04/06 23:30:00,7422.44,34.87,TRADE
NSW1,2021/04/07 00:00:00,7351.15,34.64,TRADE
NSW1,2021/04/07 00:30:00,7230.35,40.18,TRADE
NSW1,2021/04/07 01:00:00,7086.06,36.02,TRADE
NSW1,2021/04/07 01:30:00,6836.07,36.37,TRADE
NSW1,2021/04/07 02:00:00,6649.53,35.13,TRADE
NSW1,2021/04/07 02:30:00,6412.82,33.40,TRADE
NSW1,2021/04/07 03:00:00,6235.06,32.33,TRADE
NSW1,2021/04/07 03:30:00,6138.78,32.53,TRADE
NSW1,2021/04/07 04:00:00,6118.43,31.90,TRADE
NSW1,2021/04/07 04:30:00,6117.6,32.20,TRADE
NSW1,2021/04/07 05:00:00,6176.31,32.36,TRADE
NSW1,2021/04/07 05:30:00,6391.17,34.04,TRADE
NSW1,2021/04/07 06:00:00,6670.69,38.20,TRADE
NSW1,2021/04/07 06:30:00,7098.08,41.65,TRADE
NSW1,2021/04/07 07:00:00,7404.97,51.89,TRADE
NSW1,2021/04/07 07:30:00,7565.55,45.20,TRADE
NSW1,2021/04/07 08:00:00,7637.89,37.27,TRADE
NSW1,2021/04/07 08:30:00,7647.35,34.43,TRADE
NSW1,2021/04/07 09:00:00,7610.33,36.95,TRADE
NSW1,2021/04/07 09:30:00,7730.77,44.57,TRADE
NSW1,2021/04/07 10:00:00,7667.38,36.93,TRADE
NSW1,2021/04/07 10:30:00,7749.75,38.11,TRADE
NSW1,2021/04/07 11:00:00,7695.07,36.30,TRADE
NSW1,2021/04/07 11:30:00,7685.47,36.31,TRADE
NSW1,2021/04/07 12:00:00,7625.47,37.35,TRADE
NSW1,2021/04/07 12:30:00,7568.7,42.02,TRADE
NSW1,2021/04/07 13:00:00,7567.49,41.71,TRADE
NSW1,2021/04/07 13:30:00,7621.67,44.41,TRADE
NSW1,2021/04/07 14:00:00,7675.91,40.33,TRADE
NSW1,2021/04/07 14:30:00,7758.8,42.28,TRADE
NSW1,2021/04/07 15:00:00,7866.45,50.77,TRADE
NSW1,2021/04/07 15:30:00,8021.52,58.12,TRADE
NSW1,2021/04/07 16:00:00,8237.88,59.29,TRADE
NSW1,2021/04/07 16:30:00,8436.98,64.15,TRADE
NSW1,2021/04/07 17:00:00,8678.4,80.22,TRADE
NSW1,2021/04/07 17:30:00,8842.62,57.05,TRADE
NSW1,2021/04/07 18:00:00,9080.06,206.31,TRADE
NSW1,2021/04/07 18:30:00,9131.89,229.17,TRADE
NSW1,2021/04/07 19:00:00,8963,61.41,TRADE
NSW1,2021/04/07 19:30:00,8653.41,48.36,TRADE
NSW1,2021/04/07 20:00:00,8406.13,54.19,TRADE
NSW1,2021/04/07 20:30:00,8172.06,52.35,TRADE
NSW1,2021/04/07 21:00:00,8029.45,40.50,TRADE
NSW1,2021/04/07 21:30:00,7882.17,51.24,TRADE
NSW1,2021/04/07 22:00:00,7709.32,39.30,TRADE
NSW1,2021/04/07 22:30:00,7704.76,50.14,TRADE
NSW1,2021/04/07 23:00:00,7615.65,44.81,TRADE
NSW1,2021/04/07 23:30:00,7539.49,47.95,TRADE
NSW1,2021/04/08 00:00:00,7462.79,44.90,TRADE
NSW1,2021/04/08 00:30:00,7311.43,46.72,TRADE
NSW1,2021/04/08 01:00:00,7121.88,41.11,TRADE
NSW1,2021/04/08 01:30:00,6922.59,41.65,TRADE
NSW1,2021/04/08 02:00:00,6731.48,38.48,TRADE
NSW1,2021/04/08 02:30:00,6457.07,36.69,TRADE
NSW1,2021/04/08 03:00:00,6269.19,37.98,TRADE
NSW1,2021/04/08 03:30:00,6191.95,37.59,TRADE
NSW1,2021/04/08 04:00:00,6130.76,38.89,TRADE
NSW1,2021/04/08 04:30:00,6164.46,39.02,TRADE
NSW1,2021/04/08 05:00:00,6199.57,38.80,TRADE
NSW1,2021/04/08 05:30:00,6453.93,39.44,TRADE
NSW1,2021/04/08 06:00:00,6673.13,41.97,TRADE
NSW1,2021/04/08 06:30:00,7107.43,47.76,TRADE
NSW1,2021/04/08 07:00:00,7363.98,52.01,TRADE
NSW1,2021/04/08 07:30:00,7382.82,34.53,TRADE
NSW1,2021/04/08 08:00:00,7453.03,31.90,TRADE
NSW1,2021/04/08 08:30:00,7412.86,30.78,TRADE
NSW1,2021/04/08 09:00:00,7426.88,37.34,TRADE
NSW1,2021/04/08 09:30:00,7393.67,39.47,TRADE
NSW1,2021/04/08 10:00:00,7365.03,34.58,TRADE
NSW1,2021/04/08 10:30:00,7307.03,31.78,TRADE
NSW1,2021/04/08 11:00:00,7295.08,31.29,TRADE
NSW1,2021/04/08 11:30:00,7215.86,28.77,TRADE
NSW1,2021/04/08 12:00:00,7172.3,31.20,TRADE
