Month,Turnover
1982 Apr,85.4
1982 May,84.8
1982 Jun,80.7
1982 Jul,82.4
1982 Aug,80.7
1982 Sep,82.1
1982 Oct,87.3
1982 Nov,87.4
1982 Dec,97.2
1983 Jan,93
1983 Feb,85.1
1983 Mar,83.7
1983 Apr,79.7
1983 May,81.1
1983 Jun,79.7
1983 Jul,84.7
1983 Aug,85.2
1983 Sep,84.3
1983 Oct,80.1
1983 Nov,82.9
1983 Dec,89.6
1984 Jan,97.6
1984 Feb,90.3
1984 Mar,94.6
1984 Apr,88.9
1984 May,92.8
1984 Jun,87.3
1984 Jul,88.7
1984 Aug,90.3
1984 Sep,89.2
1984 Oct,96.7
1984 Nov,97.8
1984 Dec,104.6
1985 Jan,99.8
1985 Feb,87
1985 Mar,93.6
1985 Apr,94.3
1985 May,96.3
1985 Jun,92.2
1985 Jul,96.7
1985 Aug,100.2
1985 Sep,100.2
1985 Oct,106.6
1985 Nov,112.9
1985 Dec,121.5
1986 Jan,111.2
1986 Feb,97.8
1986 Mar,105.3
1986 Apr,109.2
1986 May,112.8
1986 Jun,106.1
1986 Jul,106.3
1986 Aug,110.9
1986 Sep,108.3
1986 Oct,114.2
1986 Nov,118.4
1986 Dec,135.6
1987 Jan,118.6
1987 Feb,110.2
1987 Mar,111.2
1987 Apr,112.2
1987 May,112.2
1987 Jun,110.4
1987 Jul,122
1987 Aug,120.3
1987 Sep,122.8
1987 Oct,124.1
1987 Nov,125
1987 Dec,135.4
1988 Jan,132.3
1988 Feb,121.1
1988 Mar,129.5
1988 Apr,124.3
1988 May,126.5
1988 Jun,123.5
1988 Jul,125.6
1988 Aug,124.8
1988 Sep,121.7
1988 Oct,125.8
1988 Nov,126.2
1988 Dec,136.1
1989 Jan,134.1
1989 Feb,118.9
1989 Mar,125
1989 Apr,120.7
1989 May,123.5
1989 Jun,133.6
1989 Jul,133.7
1989 Aug,137.1
1989 Sep,136.5
1989 Oct,143.5
1989 Nov,146.4
1989 Dec,161.8
1990 Jan,169.4
1990 Feb,148.7
1990 Mar,157.4
1990 Apr,157.2
1990 May,157.4
1990 Jun,155
1990 Jul,152.9
1990 Aug,155.9
1990 Sep,134.9
1990 Oct,147.2
1990 Nov,147.3
1990 Dec,164.5
1991 Jan,153.3
1991 Feb,136
1991 Mar,145.9
1991 Apr,146.7
1991 May,144.1
1991 Jun,142.4
1991 Jul,145.2
1991 Aug,149.4
1991 Sep,143.5
1991 Oct,152
1991 Nov,152.8
1991 Dec,167.9
1992 Jan,166.9
1992 Feb,153.4
1992 Mar,167.4
1992 Apr,161.5
1992 May,162.1
1992 Jun,150.2
1992 Jul,145.5
1992 Aug,145.1
1992 Sep,147.4
1992 Oct,152.5
1992 Nov,150.9
1992 Dec,156.3
1993 Jan,144.8
1993 Feb,128.4
1993 Mar,121.7
1993 Apr,131.1
1993 May,123.3
1993 Jun,129.9
1993 Jul,135.8
1993 Aug,140.4
1993 Sep,146.6
1993 Oct,155.6
1993 Nov,156.4
1993 Dec,163.6
1994 Jan,177
1994 Feb,147.2
1994 Mar,170.7
1994 Apr,147.3
1994 May,148.7
1994 Jun,148.6
1994 Jul,154.8
1994 Aug,155.5
1994 Sep,156.9
1994 Oct,148.6
1994 Nov,147.9
1994 Dec,164.7
1995 Jan,171.1
1995 Feb,151.1
1995 Mar,167.3
1995 Apr,167.3
1995 May,166.3
1995 Jun,159.8
1995 Jul,176.6
1995 Aug,179.4
1995 Sep,179.1
1995 Oct,202.5
1995 Nov,205.7
1995 Dec,223.9
1996 Jan,231.9
1996 Feb,210.1
1996 Mar,221.6
1996 Apr,215.9
1996 May,211.3
1996 Jun,202.7
1996 Jul,201.7
1996 Aug,206.4
1996 Sep,197.7
1996 Oct,213.9
1996 Nov,208.1
1996 Dec,222.1
1997 Jan,225
1997 Feb,192.5
1997 Mar,214.6
1997 Apr,207
1997 May,210.6
1997 Jun,198.3
1997 Jul,207
1997 Aug,209
1997 Sep,211.2
1997 Oct,215.9
1997 Nov,210.1
1997 Dec,225.3
1998 Jan,215.1
1998 Feb,191.2
1998 Mar,198
1998 Apr,172.3
1998 May,167.1
1998 Jun,169.2
1998 Jul,174.5
1998 Aug,160.7
1998 Sep,159.5
1998 Oct,172.2
1998 Nov,166.3
1998 Dec,180
1999 Jan,173.3
1999 Feb,149.6
1999 Mar,164.8
1999 Apr,158
1999 May,160.8
1999 Jun,157.3
1999 Jul,151.8
1999 Aug,159.6
1999 Sep,163.8
1999 Oct,166.1
1999 Nov,164.9
1999 Dec,164.4
2000 Jan,156.2
2000 Feb,142.6
2000 Mar,155.2
2000 Apr,161
2000 May,157.3
2000 Jun,163.3
2000 Jul,192.1
2000 Aug,191.6
2000 Sep,204.1
2000 Oct,220.4
2000 Nov,196.4
2000 Dec,218.7
2001 Jan,214
2001 Feb,193.8
2001 Mar,218.2
2001 Apr,185.2
2001 May,177.7
2001 Jun,183.3
2001 Jul,188.6
2001 Aug,187.6
2001 Sep,188.1
2001 Oct,204.5
2001 Nov,190.6
2001 Dec,218.9
2002 Jan,229.4
2002 Feb,182.1
2002 Mar,207.3
2002 Apr,205.4
2002 May,198
2002 Jun,194.9
2002 Jul,209.4
2002 Aug,202.9
2002 Sep,200.6
2002 Oct,218.5
2002 Nov,204
2002 Dec,229.8
2003 Jan,226
2003 Feb,181.8
2003 Mar,201.9
2003 Apr,227.6
2003 May,230.6
2003 Jun,219.4
2003 Jul,234.4
2003 Aug,237.9
2003 Sep,233.2
2003 Oct,254.5
2003 Nov,241.3
2003 Dec,272.4
2004 Jan,265.9
2004 Feb,230.3
2004 Mar,242.6
2004 Apr,267
2004 May,264.1
2004 Jun,255.1
2004 Jul,274.4
2004 Aug,259.2
2004 Sep,265.7
2004 Oct,273.9
2004 Nov,254.3
2004 Dec,280.5
2005 Jan,260.6
2005 Feb,233.7
2005 Mar,249
2005 Apr,252.6
2005 May,249
2005 Jun,251.1
2005 Jul,282.5
2005 Aug,262.6
2005 Sep,267.6
2005 Oct,299.8
2005 Nov,293.3
2005 Dec,323.5
2006 Jan,292.6
2006 Feb,252.6
2006 Mar,277.8
2006 Apr,273.5
2006 May,271.2
2006 Jun,266.9
2006 Jul,295.8
2006 Aug,289.6
2006 Sep,284.8
2006 Oct,273.7
2006 Nov,274.1
2006 Dec,295.6
2007 Jan,279.5
2007 Feb,245.4
2007 Mar,275.6
2007 Apr,272.4
2007 May,272.5
2007 Jun,276.2
2007 Jul,303.8
2007 Aug,303.8
2007 Sep,292.8
2007 Oct,304.4
2007 Nov,299.2
2007 Dec,319.6
2008 Jan,293.7
2008 Feb,284
2008 Mar,300.2
2008 Apr,297.5
2008 May,303.1
2008 Jun,291.7
2008 Jul,306.2
2008 Aug,302.7
2008 Sep,285.1
2008 Oct,314.4
2008 Nov,297.6
2008 Dec,349.8
2009 Jan,336.7
2009 Feb,284.4
2009 Mar,318.2
2009 Apr,322.3
2009 May,327.9
2009 Jun,310.7
2009 Jul,346.7
2009 Aug,348.7
2009 Sep,354.9
2009 Oct,381.2
2009 Nov,368.8
2009 Dec,426.3
2010 Jan,412.6
2010 Feb,346
2010 Mar,367.7
2010 Apr,394.6
2010 May,389.4
2010 Jun,393.4
2010 Jul,431.2
2010 Aug,411.4
2010 Sep,421.3
2010 Oct,424.9
2010 Nov,403
2010 Dec,463.6
2011 Jan,413.3
2011 Feb,348.1
2011 Mar,369.8
2011 Apr,360.1
2011 May,343
2011 Jun,341.3
2011 Jul,335.9
2011 Aug,333.3
2011 Sep,345.3
2011 Oct,344.6
2011 Nov,330
2011 Dec,402.1
2012 Jan,367.2
2012 Feb,313.1
2012 Mar,342.1
2012 Apr,368.3
2012 May,356.7
2012 Jun,360
2012 Jul,384.6
2012 Aug,371.5
2012 Sep,374
2012 Oct,370.1
2012 Nov,375.3
2012 Dec,425.4
2013 Jan,362.5
2013 Feb,318.6
2013 Mar,370.9
2013 Apr,368.9
2013 May,362.7
2013 Jun,360.5
2013 Jul,361.6
2013 Aug,379.8
2013 Sep,363.5
2013 Oct,384.6
2013 Nov,394.2
2013 Dec,431.8
2014 Jan,399.1
2014 Feb,349.9
2014 Mar,397.1
2014 Apr,398
2014 May,400.7
2014 Jun,384.2
2014 Jul,417.2
2014 Aug,424.8
2014 Sep,427.5
2014 Oct,447.9
2014 Nov,454
2014 Dec,506.1
2015 Jan,465
2015 Feb,398.4
2015 Mar,456.8
2015 Apr,450.2
2015 May,451.4
2015 Jun,449
2015 Jul,483.6
2015 Aug,475.8
2015 Sep,491.1
2015 Oct,508.9
2015 Nov,492.8
2015 Dec,538.5
2016 Jan,483.9
2016 Feb,454.5
2016 Mar,491.5
2016 Apr,503.1
2016 May,498.5
2016 Jun,491.4
2016 Jul,538.7
2016 Aug,552.4
2016 Sep,569.2
2016 Oct,575.1
2016 Nov,576
2016 Dec,627.6
2017 Jan,568.9
2017 Feb,491.2
2017 Mar,547
2017 Apr,547.9
2017 May,538
2017 Jun,531.9
2017 Jul,554.8
2017 Aug,549.3
2017 Sep,565.7
2017 Oct,574.8
2017 Nov,555.6
2017 Dec,607.7
2018 Jan,541.9
2018 Feb,482.7
2018 Mar,551
2018 Apr,550.7
2018 May,550.7
2018 Jun,540
2018 Jul,576.8
2018 Aug,579.2
2018 Sep,569.2
2018 Oct,588.6
2018 Nov,576
2018 Dec,630.3
