srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
63,2013-05-23 11:56:25,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.3,15,69.87,1,8192,4,25,3,0,1,0,,1937.85,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
90,2013-04-23 11:12:24,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.29,6,97.49,1,8192,2,44,1,0,1,1,,1208.63,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
133,2013-03-14 11:27:28,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,29,206.0,1,8192,3,99,1,0,1,1,,397.74,1,,,,-1.0,0.0,2.0,-1.0,0.0,2.0,,,,-1.0,0.0,2.0,,,,,,,0.0,0.0,,0,,0
148,2013-03-21 02:24:03,10,4,,,219,104517,4,4.0,1,4.16,0.2534,5.29,33,127.71,1,8192,4,227,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
203,2013-01-03 20:48:24,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,6,186.0,1,8192,3,6,2,0,1,0,,222.13,0,,,,1.0,0.0,14.0,0.0,0.0,20.0,,,,,1.0,,,,,,,,1.0,0.0,14.0,0,,0
375,2013-01-19 16:51:27,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,4,61.0,1,8192,1,1,3,0,1,0,,236.99,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
712,2013-01-26 11:34:23,5,219,,,219,104517,4,4.0,1,4.16,,5.29,6,72.0,1,965,3,116,3,1,1,0,,1914.52,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
751,2013-04-29 09:39:50,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,22,246.0,1,8192,2,245,2,0,1,0,,598.08,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
803,2013-03-25 19:43:44,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,3,52.0,1,8192,1,7,2,0,1,0,,223.82,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
932,2013-01-02 22:01:57,32,220,4.0,246.15,219,104517,4,4.0,1,4.16,0.2534,5.29,19,84.04,1,8192,4,104,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
979,2012-12-17 21:37:18,15,55,,,219,104517,4,4.0,1,4.16,0.2534,5.3,30,61.58,1,8192,2,210,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1167,2013-01-11 07:46:51,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.29,10,58.9,1,8192,4,24,1,0,1,0,,1036.63,0,,,,0.0,0.0,,1.0,0.0,17.0,,,,0.0,0.0,,,,,,,,1.0,0.0,16.0,1,270.27,1
1296,2013-05-19 19:52:42,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,7,68.0,1,8192,5,42,2,2,1,0,,368.02,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1656,2013-06-27 14:49:05,15,55,,,219,104517,4,4.0,1,4.16,0.2534,0.0,1,106.82,0,8192,4,287,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1714,2012-11-14 17:18:51,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.31,7,46.0,1,8192,1,4,2,0,1,0,,225.01,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1766,2013-01-10 19:22:49,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,3,50.0,1,8192,3,46,2,0,1,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1834,2013-03-27 14:49:27,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,15,122.0,1,8192,1,100,2,0,1,1,,1526.6,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1960,2013-05-20 08:14:41,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,21,209.0,1,8192,2,5,2,1,1,1,,221.73,1,,,,0.0,-1.0,,0.0,0.0,,,,,,,,,,,,,,0.0,-1.0,6.0,0,,0
2210,2013-06-30 08:49:46,5,77,,,219,104517,4,4.0,1,4.16,0.2534,0.0,29,62.0,0,8192,2,0,2,0,1,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2327,2013-06-27 19:02:34,5,219,,,219,104517,4,4.0,1,4.16,0.2534,0.0,21,89.0,0,8192,3,69,2,0,1,0,,1679.93,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2426,2013-05-21 18:49:33,31,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,7,66.0,1,8192,2,7,2,0,1,0,,1298.74,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2508,2012-11-25 18:24:55,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.31,16,52.0,1,8192,1,26,3,0,1,1,,1763.66,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2525,2013-04-07 22:42:16,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,16,195.0,1,8192,2,12,3,0,1,1,,234.62,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2574,2013-05-24 21:03:54,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,25,111.0,1,8192,2,22,2,0,1,1,,211.22,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2718,2013-05-04 08:31:26,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,34,115.0,1,8192,3,10,2,0,1,0,,2065.97,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2982,2013-01-28 21:14:48,5,187,,,219,104517,4,4.0,1,4.16,0.1431,5.29,4,70.0,1,22567,4,83,3,1,1,0,,,1,,,,0.0,0.0,,,,,,,,-1.0,0.0,6.0,,,,,,,,,,0,,0
3000,2013-01-25 16:58:42,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,36,56.0,1,8192,3,38,8,0,4,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,52.0,,,,,,,,,,0,,0
3249,2012-11-02 16:05:35,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.32,18,43.0,1,8192,2,17,2,0,1,0,,760.07,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3700,2013-03-01 18:51:53,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,8,66.0,1,8192,2,30,2,0,1,0,,235.47,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3898,2013-06-15 10:13:01,5,219,,,219,104517,4,4.0,1,4.16,0.2534,0.0,18,64.0,0,8192,4,36,2,0,1,0,,1760.52,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3944,2012-12-09 11:39:06,5,219,,,219,104517,4,4.0,1,4.16,0.1431,5.3,6,43.0,1,22567,2,24,2,0,1,0,,268.63,0,,,,0.0,0.0,,0.0,0.0,6.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4016,2012-11-18 22:06:17,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.31,14,68.0,1,8192,2,3,2,0,1,0,,226.92,1,,,,0.0,0.0,,-1.0,0.0,17.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4210,2012-11-01 03:06:43,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.32,16,78.0,1,8192,3,16,2,0,1,1,,,1,,,,0.0,0.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,,,0.0,0.0,2.0,0,,0
4212,2012-11-25 22:29:04,32,220,,,219,104517,4,4.0,1,4.16,0.2534,5.31,25,63.81,1,8192,3,219,2,0,1,0,,7730.26,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4286,2013-01-23 18:36:47,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,12,142.0,1,8192,2,93,4,0,2,1,,1522.5,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,16.0,,,,,,,0.0,0.0,,0,,0
4371,2013-02-09 20:24:55,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,9,73.0,1,8192,2,88,2,0,1,0,,1410.93,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4454,2013-05-30 16:19:31,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.3,7,106.83,1,8192,3,50,2,0,1,1,,995.55,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
4508,2013-04-16 06:05:58,5,219,3.08,37.57,219,104517,4,4.0,1,4.16,0.2534,5.29,4,64.0,1,8192,2,77,2,2,1,0,,1506.34,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
5086,2013-04-24 16:54:51,5,219,3.0,135.03,219,104517,4,4.0,1,4.16,0.2534,5.29,13,76.0,1,8192,1,0,2,0,1,0,,210.43,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
5110,2013-01-09 12:24:36,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,3,62.0,1,8192,3,27,3,0,2,0,,1410.41,0,,,,0.0,0.0,,0.0,0.0,17.0,,,,0.0,0.0,,,,,,,,0.0,0.0,16.0,1,633.92,1
5223,2013-05-08 13:46:34,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,15,73.0,1,8192,2,4,2,1,1,0,,225.01,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,,0
5518,2012-11-05 21:05:35,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.32,18,60.22,1,8192,4,48,2,0,1,0,,995.55,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
5724,2013-05-02 18:20:27,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,16,60.0,1,8192,2,76,4,2,2,0,,418.62,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
5859,2012-12-31 11:13:27,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,1,71.0,1,8192,6,27,1,0,1,0,,2244.91,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
5887,2013-03-29 23:14:12,5,123,,,219,104517,4,4.0,1,4.16,0.2534,5.29,8,67.0,1,8192,3,24,1,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
5927,2013-05-17 17:25:15,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,33,62.0,1,8192,2,221,2,0,1,0,,387.14,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
5972,2012-12-18 07:56:34,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,22,68.0,1,8192,2,28,2,0,1,0,,1595.86,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
6085,2012-12-20 08:37:44,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,10,90.0,1,8192,3,61,2,0,1,0,,2179.6,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
6281,2013-05-08 22:15:41,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,16,58.0,1,8192,2,19,2,1,1,0,,218.49,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
6290,2013-01-24 22:08:31,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,2,90.0,1,8192,1,1,4,1,2,1,,212.58,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,17.0,,,,,,,0.0,0.0,6.0,0,,0
6299,2013-05-20 10:25:55,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.3,31,131.82,1,8192,7,30,4,0,1,0,,1036.4,1,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0
6363,2012-12-27 11:21:45,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,22,46.0,1,8192,2,6,2,0,1,0,,257.11,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
6551,2013-05-12 06:11:34,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,16,141.0,1,8192,2,145,1,0,1,1,,1688.51,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
6681,2013-02-28 15:19:54,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,19,145.0,1,8192,2,16,2,2,1,1,,197.41,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
